상호명,주메뉴,지정업소구분,주소,전화번호,데이터기준일
대보유통㈜괴산(마산방향)휴게소(양식),돈까스,군 모범음식점,"충청북도 괴산군 장연면 중부내륙고속도로 205 (오가리, 괴산마산휴게소)",043-832-7966,2019-09-05
"(주)대청산업개발 괴산(양평)휴게소(한,양식)",얼큰해물순두부백반,군 모범음식점,"충청북도 괴산군 장연면 중부내륙고속도로 204 (오가리, 괴산양평휴게소)",043-832-6594,2019-09-05
제중한식촌,청국장,군 모범음식점 / 도우수모법업소 / 밥맛좋은집지정업소,"충청북도 괴산군 청안면 청안읍내로 40 (읍내리, 제중한식촌)",043-836-9261,2019-09-05
비악산식당,버섯전골,군 모범음식점 / 도우수모법업소,"충청북도 괴산군 칠성면 쌍곡로 460 (쌍곡리, 비악산식당)",043-832-5833,2019-09-05
두천매운탕,민물매운탕,군 모범음식점 / 향토음식거리 / 도우수모법업소,충청북도 괴산군 칠성면 괴강로 308,043-832-3210,2019-09-05
삼미순대,순대국,군 모범음식점,충청북도 괴산군 괴산읍 읍내로7길 4,043-833-3289,2019-09-05
이화령휴게소,도토리묵밥,군 모범음식점,"충청북도 괴산군 연풍면 이화령로 561 (주진리, 이화령휴게소)",043-833-5902,2019-09-05
오십년할머니집,,향토음식거리 / 대물림전통음식계승업소,충청북도 괴산군 괴산읍 괴강로느티울길 8-1,043-832-2974,2019-09-05
팔도강산식당,,향토음식거리,"충청북도 괴산군 괴산읍 괴강로느티울길 32 (대덕리, 팔도강산 매운탕)",043-833-1165,2019-09-05
괴강다리매운탕,,향토음식거리,충청북도 괴산군 칠성면 괴강로느티울길 32-1 (송동리),043-832-0130,2019-09-05
다래정,자연산버섯전골,밥맛좋은집지정업소,"충청북도 괴산군 괴산읍 동진천길 165 (서부리, 다래정)",043-832-1246,2019-09-05
명동샤브칼국수,해물칼국수,군 모범음식점,충청북도 괴산군 괴산읍 읍내로15길 42,043-833-6622,2019-09-05
신가네칼국수,해물칼국수,군 모범음식점,충청북도 괴산군 괴산읍 충민로기곡1길 21,043-832-0070,2019-09-05
풍성묵은지,등갈비찜,밥맛좋은집지정업소,충청북도 괴산군 괴산읍 괴산로 3540,043-834-2589,2019-09-05
우천생고기,고추장주물럭,밥맛좋은집지정업소,충청북도 괴산군 괴산읍 읍내로 322,043-832-2472,2019-09-05
괴산산막이매운탕,민물매운탕,밥맛좋은집지정업소,충청북도 괴산군 칠성면 산막이옛길 80-11,043-834-9116,2019-09-05
