상호명,도로명주소,전화번호
시장닭발,경상북도 군위군 군위읍 중앙5길 12-8,054-382-6618
목장식당,경상북도 군위군 부계면 한티로 1554-63,054-382-6868
딱조아,경상북도 군위군 의흥면 읍내5길 7-10,054-382-7005
서울식당,경상북도 군위군 의흥면 읍내길 38,054-382-7009
해주식당,경상북도 군위군 의흥면 읍내5길 4,054-382-7127
의흥골목식당,경상북도 군위군 의흥면 읍내5길 6-9,054-382-7451
성연이치킨,경상북도 군위군 군위읍 동서길 63,054-382-7667
간식나라,경상북도 군위군 의흥면 읍내길 51-1,054-382-7733
장군한우숯불가든,경상북도 군위군 효령면 경북대로 2219,054-382-7746
느티나무골,경상북도 군위군 부계면 한티로 1710-41,054-382-7867
꾸띵피자치킨또래오래,경상북도 군위군 군위읍 중앙길 46,054-382-7932
주홍산장식당,경상북도 군위군 부계면 한티로 1672,054-382-8050
정원,경상북도 군위군 부계면 부흥로 9,054-382-8050
동원반점,경상북도 군위군 군위읍 중앙길 67,054-382-8889
다발연수원관광농원,경상북도 군위군 효령면 탑평길 21-5,054-382-8898
효령매운탕,경상북도 군위군 효령면 치산효령로 2267-8,054-382-9088
골목집매운탕,경상북도 군위군 효령면 거매2길 38-1,054-382-9519
팔송정,경상북도 군위군 부계면 한티로 1646,054-382-9566
양스김밥,경상북도 군위군 군위읍 중앙길 84,054-382-9691
하림각,경상북도 군위군 효령면 경북대로 2212,054-383-0095
석산정류소식당,경상북도 군위군 삼국유사면 삼국유사로 1324,054-383-0448
사라김밥,경상북도 군위군 군위읍 중앙길 90,054-383-0505
딩구는 해물탕,경상북도 군위군 군위읍 동서길 27,054-383-0661
청포도마을,경상북도 군위군 부계면 한티로 1524,054-383-0802
이팝브런치카페,경상북도 군위군 부계면 남산4길 4,054-383-0889
화본국수전문점,경상북도 군위군 산성면 산성가음로 688,054-383-1003
이조식당,경상북도 군위군 효령면 경북대로 2202-1,054-383-1211
미락이로운 포크,경상북도 군위군 군위읍 도군로 2666,054-383-1234
홍천뚝배기,경상북도 군위군 산성면 치산효령로 881,054-383-1510
쉬었다가세요,경상북도 군위군 부계면 한티로 2294,054-383-1896
대발이,경상북도 군위군 군위읍 군청로 194,054-383-2112
호수식당,경상북도 군위군 효령면 독골길 7-103,054-383-2195
장수식당,경상북도 군위군 부계면 치산효령로 1381,054-383-2259
장터국밥,"경상북도 군위군 군위읍 중앙5길 4-23, 군위전통시장 마동 12호",054-383-2352
길안식당,경상북도 군위군 군위읍 중앙길 136,054-383-2665
비원짱분식,경상북도 군위군 군위읍 중앙길 12,054-383-3125
산사랑,경상북도 군위군 부계면 한티로 1722,054-383-3747
길목식당,경상북도 군위군 삼국유사면 삼국유사로 3,054-383-3831
부곡식당,경상북도 군위군 부계면 한티로 2168,054-383-3934
옛고을식당,경상북도 군위군 효령면 점말길 20,054-383-3999
중앙식당,경상북도 군위군 삼국유사면 삼국유사로 438-24,054-383-4252
신공항한우프라자,경상북도 군위군 군위읍 경북대로 3163,054-383-4341
동산계곡식당,경상북도 군위군 부계면 원효길 200,054-383-4545
동부반점,경상북도 군위군 군위읍 동서5길 6,054-383-4977
풍년식당,경상북도 군위군 군위읍 중앙6길 13-1,054-383-5160
별에서온그닭,경상북도 군위군 군위읍 동서길 39,054-383-5233
옛날엄마손칼국시,경상북도 군위군 삼국유사면 동부로 135,054-383-5466
왕손짜장수연각,경상북도 군위군 효령면 경북대로 2659-4,054-383-5552
진부령식당,경상북도 군위군 부계면 남산4길 35,054-383-5767
들국화,경상북도 군위군 군위읍 도군로 2733,054-383-5777
으뜸우 2호점,경상북도 군위군 군위읍 군청로 92,054-383-5779
무지개가든,경상북도 군위군 부계면 원효길 316,054-383-5980
본죽군위점,경상북도 군위군 군위읍 동서길 39,054-383-6288
북경반점,경상북도 군위군 군위읍 동서길 35-14,054-383-6563
맥시칸치킨,경상북도 군위군 군위읍 중앙길 61,054-383-6699
안정환의 바글바글,경상북도 군위군 부계면 한티로 1796,054-383-6917
효령공판장식당,경상북도 군위군 효령면 중리길 7-17,054-383-6944
딸부잣집식당,경상북도 군위군 부계면 한티로 2485,054-383-7108
산촌먹거리식당,경상북도 군위군 삼국유사면 석산길 1,054-383-7276
참샘식당,경상북도 군위군 부계면 한티로 1545,054-383-7367
TK레져식당,경상북도 군위군 부계면 한티로 1522,054-383-7400
시꼴집,"경상북도 군위군 군위읍 중앙4길 20, 나동 9호",054-383-7429
두찜경북군위점,경상북도 군위군 군위읍 동산새길 48,054-383-7564
참좋은김밥천국,경상북도 군위군 군위읍 중앙길 112-1,054-383-7583
차향만리,경상북도 군위군 부계면 한티로 1788-10,054-383-7691
밀양돼지국밥,경상북도 군위군 군위읍 중앙4길 16-8,054-383-7889
동화속으로,경상북도 군위군 부계면 한티로 1587,054-383-7979
소담상,경상북도 군위군 산성면 치산효령로 865-43,054-383-8448
바삭카츠,경상북도 군위군 산성면 치산효령로 865-43,054-383-8448
진한국물 탕,경상북도 군위군 산성면 치산효령로 865-43,054-383-8448
화림숯불갈비,경상북도 군위군 군위읍 동서1길 12,054-383-8668
소담상,경상북도 군위군 부계면 치산효령로 989-23,054-383-8778
바삭카츠,경상북도 군위군 부계면 치산효령로 989-23,054-383-8778
진한국물 탕,경상북도 군위군 부계면 치산효령로 989-23,054-383-8778
구안식당,경상북도 군위군 효령면 경북대로 2166,054-383-8881
둥지가든,경상북도 군위군 군위읍 경북대로 3173,054-383-8888
청도본가,경상북도 군위군 군위읍 중앙길 38,054-383-8897
두안돼지국밥,"경상북도 군위군 군위읍 중앙4길 20, 나동 4호",054-383-8998
석담회초밥,경상북도 군위군 군위읍 군청로 144,054-383-9020
거북산장식당,경상북도 군위군 부계면 한티로 1455,054-383-9290
앵두식당,경상북도 군위군 군위읍 중앙6길 5,054-383-9474
오곡휴게소식당,경상북도 군위군 군위읍 경북대로 4227,054-383-9501
봉필호프,경상북도 군위군 군위읍 중앙길 155,054-383-9779
작은영토,경상북도 군위군 부계면 한밤8길 160,054-383-9889
재주식당,경상북도 군위군 산성면 치산효령로 942,054-383-9959
농암가든,경상북도 군위군 군위읍 도군로 2506-1,054-383-9979
땅재농원식당,경상북도 군위군 소보면 도군로 816,054-475-2848
흥부와 놀부,경상북도 군위군 소보면 송원4길 12,054-382-0004
토스트앤후르츠,"경상북도 군위군 군위읍 중앙길 167, 1층 103호",054-382-0150
금상매운탕,경상북도 군위군 군위읍 중앙길 36,054-382-0588
도남식당,경상북도 군위군 군위읍 중앙길 133-1,054-382-0701
일미정,경상북도 군위군 군위읍 동서길 38-4,054-382-0764
들꽃이야기,경상북도 군위군 부계면 남산4길 33-10,054-382-0794
미진식당,경상북도 군위군 군위읍 중앙길 31,054-382-0873
신남골식당,경상북도 군위군 산성면 산성가음로 709,054-382-1178
홍두깨,경상북도 군위군 군위읍 중앙6길 6-1,054-382-1377
백송온천관광호텔,"경상북도 군위군 부계면 한티로 2244, 백송스파비스관광호텔",054-382-1400
천평기사식당,경상북도 군위군 삼국유사면 동부로 113,054-382-1444
시장식당,경상북도 군위군 의흥면 읍내5길 3-11,054-382-2320
대흥식당,경상북도 군위군 부계면 한티로 2161,054-382-2657
남산식당,경상북도 군위군 부계면 남산4길 17,054-382-2773
시골밥상,경상북도 군위군 부계면 한티로 1903,054-382-2776
동촌식당,경상북도 군위군 부계면 남산4길 10,054-382-2779
수양식당,경상북도 군위군 부계면 남산4길 27,054-382-2810
포항식당,경상북도 군위군 소보면 송원3길 30-8,054-382-2952
동원식당,경상북도 군위군 소보면 송원4길 1-1,054-382-4018
군위식당,경상북도 군위군 소보면 송원3길 125-1,054-382-4019
우금식당,경상북도 군위군 우보면 이화길 122-8,054-382-4093
황진이,경상북도 군위군 군위읍 중앙6길 16,054-382-4938
부산식당,경상북도 군위군 의흥면 읍내길 40,054-382-5381
우보식당,경상북도 군위군 우보면 이화3길 6,054-382-6266
산사의밥,경상북도 군위군 부계면 남산4길 14,054-382-7702
골목식당,경상북도 군위군 우보면 이화길 137-13,054-382-7797
구구통닭,경상북도군위군의흥면읍내5길7-8,054-382-7890
군위참좋은한우,경상북도 군위군 효령면 간동유원지길 5,054-382-8260
강변식육식당,경상북도 군위군 효령면 중구2길 17,054-382-8456
한마음식당,경상북도 군위군 군위읍 중앙길 56-16,054-382-8675
풍전치키치키,경상북도 군위군 효령면 중구2길 12-1,054-382-8850
원조 거매 메기 매운탕,경상북도 군위군 효령면 거매2길 41-1,054-382-9007
뽕가는 떡볶이,경상북도 군위군 군위읍 중앙길 126,054-382-9696
팔공산염소집,경상북도 군위군 부계면 한티로 1557,054-382-9947
치키치키부계점,경상북도 군위군 부계면 창평길 22,054-383-1477
안다미로,경상북도 군위군 군위읍 중앙길 95-1,054-383-2111
경일식당,경상북도 군위군 군위읍 중앙길 98,054-383-2355
경산식당,경상북도 군위군 군위읍 중앙5길 8-19,054-383-3080
김서방통닭,경상북도 군위군 군위읍 중앙길 125-1,054-383-3232
강원도물회,경상북도 군위군 우보면 이화길 118,054-383-3706
군위휴게소,경상북도 군위군 군위읍 경북대로 3987,054-383-4360
강변매운탕,경상북도 군위군 군위읍 내외량길 146-33,054-383-4950
하림식당,경상북도 군위군 군위읍 동서길 30,054-383-5141
원주통닭,경상북도 군위군 군위읍 중앙길 105,054-383-5252
산너머남촌식당,경상북도 군위군 부계면 한티로 1667,054-383-5445
한식당 (주)부자 군위(상),경상북도 군위군 군위읍 경북대로 4084,054-383-6114
대성식당,경상북도 군위군 부계면 창평길 17,054-383-6225
라이거치킨호프,경상북도 군위군 소보면 송원3길 19-2,054-383-7044
한식당 (주)부자 군위(하),경상북도 군위군 군위읍 경북대로 4082,054-383-7114
팔공가든,경상북도 군위군 부계면 한밤8길 46-52,054-383-8222
옥여봉,경상북도 군위군 삼국유사면 동부로 307,054-383-8822
군위상황약수삼계탕,경상북도 군위군 군위읍 동서길 28,054-383-9030
부영야식,"경상북도 군위군 군위읍 중앙5길 8-6, 군위전통시장",054-383-9590
석산식당,경상북도 군위군 삼국유사면 삼국유사로 1321,054-383-9813
소반식당,경상북도 군위군 부계면 창평길 7,054-383-9953
사라온,경상북도 군위군 군위읍 동서길 49,070-8808-4279
가고파 바비큐 식당,경상북도 군위군 부계면 한티로 1731,
송희 소주방,경상북도 군위군 군위읍 중앙길 34,
씨제이프레시웨이(주) 구니CC그늘집(15홀),경상북도 군위군 군위읍 도군로 2450 (외 159필지),054-380-0040
피자나라 치킨공주,경상북도 군위군 군위읍 중앙길 124,054-382-1355
뜰안길,경상북도 군위군 군위읍 동서5길 13,054-382-6600
BBQ 군위행복점,경상북도 군위군 군위읍 중앙길 126,054-383-9492
씨제이프레시웨이(주) 구니CC스타트하우스,경상북도 군위군 군위읍 도군로 2450 (외 159필지),054-380-0040
씨제이프레시웨이(주) 구니CC그늘집(5홀),경상북도 군위군 군위읍 도군로 2450 (외 159필지),054-380-0040
씨제이프레시웨이(주) 구니CC직원식당,경상북도 군위군 군위읍 도군로 2450 (외 159필지),054-380-0040
씨제이프레시웨이(주) 구니CC클럽하우스,경상북도 군위군 군위읍 도군로 2450 (외 159필지),054-380-0400
군위오펠레스토랑,경상북도 군위군 산성면 부흥로 227,054-380-8000
군위오펠 산울 티하우스,경상북도 군위군 산성면 부흥로 227,054-380-8000
화본역전분식,경상북도 군위군 산성면 산성가음로 711-5,054-382-0040
장영채의 군위농가맛집 두향,경상북도 군위군 부계면 한티로 2206-37,054-382-0045
수정식당,경상북도 군위군 우보면 이화길 116,054-382-0238
오늘의 메뉴,경상북도 군위군 군위읍 정1길 3,054-382-0666
정동진 횟집,경상북도 군위군 군위읍 동서5길 7,054-382-1114
뮤지엄스테이,경상북도 군위군 부계면 한티로 2130,054-382-1122
철가방,경상북도 군위군 산성면 산성가음로 708,054-382-1313
다올 밀양돼지국밥,경상북도 군위군 부계면 부흥로 6-1,054-382-1648
먹고가면돼지,경상북도 군위군 군위읍 중앙길 50,054-382-2114
명자네식당,경상북도 군위군 군위읍 도군로 2648,054-382-2222
팔공치킨,경상북도 군위군 의흥면 읍내길 41,054-382-2279
골목식당,경상북도 군위군 소보면 송원3길 39-20,054-382-2629
예주가,경상북도 군위군 부계면 한밤8길 11,054-382-2703
뚝배기나라,경상북도 군위군 군위읍 동서5길 23,054-382-3133
산동식당,경상북도 군위군 소보면 송원4길 3-1,054-382-3244
미소식당,경상북도 군위군 군위읍 경북대로 3399,054-382-3303
화본레일카페,경상북도 군위군 산성면 산성가음로 711-9,054-382-3361
덕담식당,경상북도 군위군 소보면 송원3길 21,054-382-4040
연하식당,경상북도 군위군 의흥면 읍내길 82-1,054-382-5199
연화식당,경상북도 군위군 군위읍 중앙6길 19-1,054-382-5767
창평가든,경상북도 군위군 부계면 부흥로 102,054-382-5990
우보치킨,경상북도 군위군 우보면 이화길 134,054-382-6305
영동식당,경상북도 군위군 효령면 한실길 4,054-382-6321
대호식당,경상북도 군위군 의흥면 읍내1길 8,054-382-7026
착한식당,경상북도 군위군 의흥면 읍내길 45-1,054-382-7072
은주네,경상북도 군위군 의흥면 읍내길 53-2,054-382-7471
시골식당,경상북도 군위군 의흥면 읍내5길 1,054-382-7878
선암식당,경상북도 군위군 의흥면 읍내길 61-2,054-382-7985
본가원,경상북도 군위군 효령면 중리길 7-1,054-382-8826
진영숯불갈비,경상북도 군위군 군위읍 중앙길 7,054-382-8877
선산곱창,경상북도 군위군 군위읍 중앙길 67,054-382-8892
청수가든,경상북도 군위군 효령면 하평길 41-29,054-382-9907
와곡지쉼터,경상북도 군위군 군위읍 정2길 83,054-382-1247
군산집,경상북도 군위군 부계면 창평길 19,054-382-3297
하림꼬꼬통닭,경상북도 군위군 의흥면 읍내5길 13-1,054-382-7900
참숯오리,경상북도 군위군 군위읍 도군로 2510-50,054-383-0043
영농조합법인석산약바람산촌생태마을,경상북도 군위군 삼국유사면 석산길 193,054-383-0064
서민숯불,경상북도 군위군 군위읍 중앙5길 8-23,054-383-0174
유사골 식당,경상북도 군위군 삼국유사면 석산길 225,054-383-0255
대기숯불가든,경상북도 군위군 군위읍 중앙5길 7-11,054-383-1133
군위식당,경상북도 군위군 군위읍 중앙5길 4,054-383-1164
군위민속한우,경상북도 군위군 군위읍 도군로 2656,054-383-1199
cafe호두나무,경상북도 군위군 부계면 한티로 2128,054-383-1202
다락재쉼터,경상북도 군위군 군위읍 도군로 2488,054-383-1213
반올림피자샵 군위점,경상북도 군위군 군위읍 중앙4길 3,054-383-1238
누리마을 감자탕,경상북도 군위군 군위읍 중앙길 54,054-383-2115
영이네과일카페,경상북도 군위군 군위읍 중앙4길 6,054-383-2552
군위농협장례식당,경상북도 군위군 군위읍 중앙길 165-6,054-383-2990
석정식당,경상북도 군위군 부계면 한티로 1669,054-383-3666
아미산 식당,경상북도 군위군 삼국유사면 삼국유사로 1051,054-383-3676
복지회관식당,경상북도 군위군 군위읍 군위공단길 89,054-383-3696
1박투데이,경상북도 군위군 부계면 한티로 1609,054-383-3804
이박사가든,경상북도 군위군 군위읍 도군로 2604,054-383-4188
돈타작수제돈까스,경상북도 군위군 군위읍 중앙5길 8-22,054-383-4249
한밭식당,경상북도 군위군 소보면 송원3길 35-16,054-383-4492
막달군,경상북도 군위군 군위읍 동서3길 43,054-383-5453
월매칼국수,경상북도 군위군 효령면 경북대로 2202-1,054-383-5558
숲속에 가든,경상북도 군위군 군위읍 대북길 61-25,054-383-5678
제천식당,경상북도 군위군 군위읍 중앙5길 8-6,054-383-6924
장터해장국,경상북도 군위군 군위읍 중앙5길 6,054-383-7117
시꼴집,경상북도 군위군 군위읍 동서길 77,054-383-7429
착한한우,경상북도 군위군 효령면 간동유원지길 27,054-383-7557
해나루가든,경상북도 군위군 효령면 경북대로 2680,054-383-7862
팔공식육식당,경상북도 군위군 부계면 창평길 20,054-383-8006
한밤 황토집,경상북도 군위군 부계면 한밤8길 46-55,054-383-8200
백록담 국민국밥,경상북도 군위군 군위읍 중앙길 38,054-383-8230
채미정,경상북도 군위군 군위읍 도군로 2518,054-383-8747
불티나치킨,경상북도 군위군 효령면 경북대로 2219,054-383-9285
청도매운탕 다슬기 본가,경상북도 군위군 부계면 한티로 1841,054-383-9399
하나로참숯가마,경상북도 군위군 효령면 장군로 736-1,054-383-0225
군위와촌식당,경상북도 군위군 부계면 치산효령로 1383,054-383-1990
초원보신탕,경상북도 군위군 산성면 범하1길 30,054-383-3652
신등갈비,경상북도 군위군 부계면 치산효령로 1414,054-383-3789
정원가든,경상북도 군위군 부계면 원효길 50,054-383-4692
영일만친구횟집,경상북도 군위군 군위읍 동산새길 19-13,054-383-7982
꿈의도시,경상북도 군위군 부계면 한티로 1570-2,054-383-8300
박타산쉼터,경상북도 군위군 효령면 경북대로 2768-15,054-383-9177
하늘해,경상북도 군위군 효령면 용매로 788,054-383-9512
우리칼국수,경상북도 군위군 삼국유사면 삼국유사로 5,054-383-9980
우리분식,경상북도 군위군 우보면 이화길 120,054-915-9915
솔밭집,경상북도 군위군 군위읍 삽령길 90-29,054-382-1277
유정식당,경상북도 군위군 우보면 이화길 157,054-382-6023
천복 한우 마을촌,경상북도 군위군 효령면 경북대로 2369,054-382-8946
군위이로운 한우,"경상북도 군위군 효령면 간동유원지길 14, 군위이로운한우직판장",054-382-9800
이태공짜장짬뽕,경상북도군위군우보면이화길147-1,054-382-0540
화본마을마중,경상북도 군위군 산성면 산성가음로 694,054-382-0727
또래오래 군위점,경상북도 군위군 군위읍 중앙길 122,054-382-0799
또래오래,경상북도 군위군 군위읍 중앙길 106,054-382-0799
대율식당,경상북도군위군부계면한티로2135,054-382-2640
선희네,경상북도 군위군 소보면 송원4길 4,054-382-2658
두꺼비왕족발보쌈식당,경상북도군위군군위읍중앙길24,054-382-3789
연계식당,경상북도 군위군 의흥면 동부로 730,054-382-4222
장군마을,경상북도 군위군 효령면 장군당1길 24-6,054-382-5777
이화식당,경상북도 군위군 우보면 이화길 139-1,054-382-6067
대영반점,경상북도 군위군 의흥면 읍내5길 6-5,054-382-6628
구시장식당,경상북도 군위군 효령면 중구2길 4,054-382-8040
금성식당,경상북도 군위군 효령면 치산효령로 2395,054-382-8043
지성해물찜,경상북도 군위군 군위읍 중앙5길 12-5,054-382-9993
고향맛손칼국수,경상북도 군위군 삼국유사면 동부로 270,054-383-1444
솔밭가든,경상북도 군위군 부계면 한티로 1699-23,054-383-2016
송이휴게소,경상북도 군위군 군위읍 도군로 2575,054-383-6203
의흥한식뷔페,경상북도 군위군 의흥면 동부로 1040,054-383-6360
엄마밥상,경상북도 군위군 군위읍 중앙길 68,054-383-7500
장원쌈밥,경상북도 군위군 군위읍 도군로 2577-5,054-383-9792
명성식당,경상북도 군위군 군위읍 중앙6길 11-1,054-383-1346
문정식당,경상북도 군위군 부계면 창평1길 19,054-383-1541
후루룩냠냠,경상북도 군위군 군위읍 중앙길 29,054-383-2018
자매당,경상북도 군위군 군위읍 동서2길 6,054-383-2210
도리원식당,경상북도 군위군 군위읍 중앙5길 8-6,054-383-2389
수복식당,경상북도 군위군 군위읍 동서길 41,054-383-2427
대중식당,경상북도 군위군 우보면 이화3길 1-1,054-383-2427
장천식당,경상북도 군위군 군위읍 중앙5길 12-14,054-383-2954
알령식당,경상북도군위군군위읍중앙길110,054-383-3558
산호보리밥,경상북도 군위군 군위읍 중앙5길 12-1,054-383-3588
마왕족발 경북군위점,경상북도 군위군 군위읍 중앙길 63,054-383-3710
수덕고디탕,경상북도 군위군 산성면 치산효령로 984,054-383-5333
삼산한식뷔페,경상북도 군위군 산성면 산성가음로 705,054-383-5532
화본 LOVE 호떡,경상북도 군위군 산성면 산성가음로 675,054-383-5660
용궁어탕,경상북도 군위군 군위읍 중앙길 155,054-383-5799
홍길동식당,경상북도 군위군 부계면 한티로 1621-52,054-383-5828
하얀식당,경상북도 군위군 우보면 이화2길 13,054-383-6947
짬뽕상회 군위점,경상북도 군위군 군위읍 중앙6길 13-10,054-383-8222
옛날통닭,경상북도 군위군 군위읍 중앙길 24,054-383-8586
탐미돈,"경상북도 군위군 군위읍 중앙4길 20, 다동",054-383-9233
초원식당,경상북도 군위군 군위읍 중앙6길 10,054-383-9991
매일식당,경상북도 군위군 군위읍 중앙길 69,
원골가든,경상북도 군위군 효령면 치산효령로 2376,
해인가든산장,경상북도 군위군 부계면 한티로 1552,
봉숙이네,경상북도 군위군 효령면 경북대로 2185,
청화소주방,경상북도 군위군 소보면 송원3길 39-5,
석우사슴농장,경상북도 군위군 소보면 도군로 1928,
스모프치킨군위점,경상북도 군위군 군위읍 중앙5길 4-19,
군위오펠여울티하우스,경상북도 군위군 산성면 부흥로 227,
미소 회 타운,경상북도 군위군 군위읍 중앙길 43,
군위반점,경상북도 군위군 군위읍 동산새길 50,
버팔로 가든,경상북도 군위군 군위읍 중앙길 120,
몽몽마방,경상북도 군위군 부계면 치산효령로 1174,
장군이족발,경상북도 군위군 군위읍 중앙5길 12-8,
오복식당,경상북도 군위군 효령면 중구2길 10,
부천성,경상북도 군위군 효령면 경북대로 2184,
우연,경상북도 군위군 군위읍 동서1길 17-6,
&.앤드,경상북도군위군군위읍동서2길2,
선비식당,경상북도 군위군 의흥면 읍내6길 3,
노스텔지어,경상북도 군위군 부계면 창평길 22-1,
동백 팔공산본점,경상북도 군위군 산성면 산성가음로 711-6,
효령공단식당,경상북도 군위군 효령면 효령공단길 14-4,
구니커피,경상북도 군위군 군위읍 도군로 2577-5,
자연산민물시래기매운탕,경상북도 군위군 효령면 효우로 83,
영이네도시락까페,경상북도 군위군 군위읍 중앙길 103,
동부칼국수,경상북도 군위군 군위읍 동서길 78,
J힐링카페,경상북도 군위군 부계면 한티로 1751,
어부횟집,경상북도 군위군 효령면 경북대로 2204,
플루보,경상북도 군위군 부계면 한밤8길 143-3,
화본닭강정,경상북도 군위군 산성면 산성가음로 707-1,
둥지잔치국수,경상북도 군위군 군위읍 중앙길 32,
엄한백숙,"경상북도 군위군 부계면 한티로 2158, 1층",
골목식당,경상북도 군위군 군위읍 중앙길 61-23,
계곡가든,경상북도 군위군 부계면 한티로 1710-35,
화로돈,경상북도 군위군 의흥면 읍내길 68,
셈's샌&샐,경상북도 군위군 군위읍 중앙길 58,
잔치국수,경상북도 군위군 부계면 부흥로 6,
해피푸드,"경상북도 군위군 의흥면 일연테마로 100, 삼국유사테마파크",
Kitchen.Lee.,경상북도 군위군 군위읍 동서7길 12-2,
장군야식,경상북도 군위군 군위읍 중앙길 68,
bhc군위점,경상북도 군위군 군위읍 중앙길 95,
우리동네포차,"경상북도 군위군 군위읍 중앙6길 13-55, 서원연립",
한밤국수한그릇,경상북도 군위군 부계면 한티로 2158,
Allie(앨리) 살롱드 테,경상북도 군위군 군위읍 중앙6길 13-9,
써니,"경상북도 군위군 군위읍 중앙길 68, 2층",
