연번,상호명,소재지도로명주소,전화번호,비고,데이터기준일자
48,달맞이흑두부,광주광역시 광산구 북문대로 500-17(신창동),062-972-8465,웰빙맛집,2022-01-11
49,추어가남원추어탕,"광주광역시 광산구 어등대로449번길 33, 1층(선암동)",062-945-8585,웰빙맛집,2022-01-11
50,김명화서리태콩국수,"광주광역시 남구 천변좌로338번길 16, 구동오피스텔 1층(구동)",062-651-3232,웰빙맛집,2022-01-11
51,강촌,"광주광역시 서구 마륵복개로 152-3, 2층(치평동)",062-374-3579,웰빙맛집,2022-01-11
52,강의리추어탕,"광주광역시 북구 우치로 61(중흥동, 외2필지 1층)",062-527-0937,웰빙맛집,2022-01-11
53,낙지마을,"광주광역시 서구 상무민주로6번길 36,1층(쌍촌동)",062-382-0799,웰빙맛집,2022-01-11
54,천지유,"광주광역시 서구 풍금로 67(금호동, 1,2층)",062-682-6655,웰빙맛집,2022-01-11
55,오얏리돌솥밥,광주광역시 북구 밤실로 178(두암동),062-267-8502,웰빙맛집,2022-01-11
56,올능이능이버섯백숙,광주광역시 동구 무등로 326(계림동),062-226-4743,웰빙맛집,2022-01-11
57,해남성내식당,"광주광역시 남구 봉선로 21, 2층(주월동,우리덕이)",062-672-5123,웰빙맛집,2022-01-11
58,석암돌솥밥,광주광역시 북구 대천로139번길 8-1(문흥동),062-262-2222,웰빙맛집,2022-01-11
59,뜨락,"광주광역시 남구 화산로 105, 1층(진월동)",062-672-7001,웰빙맛집,2022-01-11
60,산수쌈밥 동명점,"광주광역시 동구 동계로 11(동명동, 1층)",062-223-0766,웰빙맛집,2022-01-11
61,고려조삼계탕,광주광역시 동구 금남로 231(금남로2가),062-224-2525,웰빙맛집,2022-01-11
62,어촌바다장어,"광주광역시 서구 금화로73번길 6-16(금호동,일층)",062-382-9282,웰빙맛집,2022-01-11
