구분,상호명,소재지,소재지전화,대표음식
으뜸,시장정육점식당,충청남도 공주시 백미고을길 10-5 (금성동),041-855-3074,"알밤육회비빔밥, 갈비탕"
으뜸,양달가든,충청남도 공주시 우성면 해포길 40-13,041-853-7893,"닭(오리)백숙, 옻닭"
으뜸,어씨네본가,충청남도 공주시 반포면 창벽로 714,041-852-7372,"장어구이, 참게매운탕"
으뜸,예가,"충청남도 공주시 금벽로 535, 2층 (신관동)",041-854-7900,"석갈비, 전골"
으뜸,예가촌,충청남도 공주시 느티나무길 40 (금성동),041-857-3355,"석갈비, 토종닭수제비탕"
으뜸,오리사랑,"충청남도 공주시 번영1로 157-7 (신관동,(1층))",041-881-5289,"생오리부추구이, 야채주물럭"
으뜸,오복아구전문,충청남도 공주시 무령로 124 (웅진동),041-858-2832,"아귀찜, 아귀탕"
으뜸,용궁칼국수샤브샤브,충청남도 공주시 번영2로 38 (신관동),041-856-6988,"해물칼국수, 왕만두전골"
으뜸,유가네칼국수,충청남도 공주시 원댕이길 8 (금학동),041-856-1053,"칼국수, 수육"
으뜸,일미식당,충청남도 공주시 신관로 63-1 (신관동),041-855-6779,"감자탕, 뼈다귀해장국"
으뜸,자연골농원,충청남도 공주시 의당면 의당길 114-41,041-854-3487,"한방엄나무닭백숙, 옻닭"
으뜸,자연농장,충청남도 공주시 반포면 사봉길 43,042-825-2162,"오리주물럭, 오리한방백숙"
으뜸,장순루,충청남도 공주시 계룡면 마방길 5-12,041-857-5010,"고추짬뽕, 탕수육"
으뜸,장원숯불갈비,충청남도 공주시 반포면 제석골길 10-14,042-825-1616,"석갈비, 갈비탕"
으뜸,청벽가든,충청남도 공주시 반포면 창벽로 750,041-854-7383,"장어구이, 참게매운탕"
으뜸,케이프타운,충청남도 공주시 금벽로 537 (신관동),041-857-8757,"안심과왕새우스테이크, 단호박치즈돈가스"
으뜸,태극식당,충청남도 공주시 번영2로 40-11 (신관동),041-854-9269,"막창구이, 소곱창구이"
으뜸,하늘채장작구이,충청남도 공주시 무령로 425-3 (신관동),041-853-9289,"장작구이(오리, 통삼겹), 묵밥"
으뜸,한우타운,충청남도 공주시 번영2로 70 (신관동),041-854-2289,"생등심, 삼겹살"
으뜸,해상공원,충청남도 공주시 백미고을길 17-14 (금성동),041-857-9595,회정식
으뜸,황해도전통손만두국,"충청남도 공주시 우금티로 744 (옥룡동,(1층))",041-855-4687,"만두전골, 만두국"
토속,계룡산묵사랑,충청남도 공주시 전진배길 389 (신기동),041-855-2032,"도토리묵, 묵밥, 도토리피자"
토속,등산로식당,충청남도 공주시 반포면 상하신길 454-3,041-857-0064,"순두부, 두부"
토속,밥꽃하나피었네,충청남도 공주시 계룡면 신원사로 502,041-855-0696,"강된장, 천년초발효액떡갈비"
토속,엄마의식탁,충청남도 공주시 반포면 정광터2길 1,041-881-8212,"예담정식, 떡갈비정식"
토속,원진노기순청국장,충청남도 공주시 백미고을길 6 (금성동),041-855-3456,"청국장, 양념갈비"
토속,이학식당,충청남도 공주시 가구점길 6 (중동),041-855-3202,"공주국밥, 불고기"
토속,주봉마을우렁촌,충청남도 공주시 이인면 검바위로 712,041-857-0949,"우렁쌈밥, 우렁야채무침"
토속,한옥마을 새이학,"충청남도 공주시 관광단지길 12, 6,7,8동 1층 (웅진동)",041-856-0019,"공주국밥정식, 연잎밥정식"
