연 번,상호명,영업자성명,소재지(도로명),소재지전화번호,업태명,주된음식
50,양경승숯불갈비,양경승,경상북도 경주시 양정로328번길 13 (용강동), 054- 744-9233,한식,갈비살구이
51,어향원,김민희,경상북도 경주시 화랑로 76-1 (서부동),054 -772 -2821,중국식,중화요리
52,영남식육식당,김철민,경상북도 경주시 건천읍 작원3길 5-9, 054-751 -3628,식육(숯불구이),숯불구이
53,오대양칼국수,정혜자,경상북도 경주시 초당길137번길 15 (동천동),054 -741 -5356,한식,생선회
54,외바우,송순주,경상북도 경주시 안강읍 구부랑3길 12, 054- 763-7733,한식,낙불삼철판복음
55,요남자경북경주점,김은정,경상북도 경주시 알천남로 232 (성동동),054 -777 -7456,경양식,"스테이크, 피자, 파스타"
56,요석궁식당,최재용,경상북도 경주시 교촌안길 19-4 (교동),,한식,한정식
57,용장골순두부,예순남,경상북도 경주시 내남면 포석로 372-1, 054- 745-3676,한식,순두부
58,원조암소숯불구이,우태곤,경상북도 경주시 산내면 의곡중앙길 35-3, 054- 751-6993,한식,숯붉생고기
59,월지향,김소연,경상북도 경주시 양정로74번길 5 (황오동),,한식,한정식
60,장수두부촌,백해성,경상북도 경주시 마동탑마을길 7-5 (마동),054 -746 -3880,한식,삼색두부
61,전촌참가자미회,양석자,경상북도 경주시 북군3길 17-1 (북군동),,횟집,생선회
62,점심밥상 저녁술상,김미상,경상북도 경주시 탈해로 41 (동천동), 054- 741-1233,한식,꼬막정식
63,정수가성,최원혁,경상북도 경주시 보불로 318 (하동),054 -745 -0066,한식,한정식
64,정이품쭈꾸미,이제빈,경상북도 경주시 원화로 273 (성동동),054 -771 -9444,한식,주꾸미철판볶음
65,정코다리경주점,윤종규,"경상북도 경주시 용황로 107, 1층 (용강동)",,한식,코다리
66,정화,배석주,경상북도 경주시 용담로 104 (황성동),054 -772 -1155,한식,한정식
67,정회(서부점),정병하,경상북도 경주시 봉황로 105 (서부동), 054- 775-2570,횟집,"모듬회,횟밥,물회"
68,종가집식당,최기식,경상북도 경주시 천북면 천강로 457, 054- 774-1223,한식,갈비살
69,주식회사 맷돌순두부,이시은,경상북도 경주시 북군길 7 (북군동), 054- 745-2791,한식,순두부찌게
70,진수성찬,이현숙,경상북도 경주시 교촌길 39-9 (교동),054 -742 -4284,한식,한정식코스요리
71,천년미가,손미선,경상북도 경주시 용강상리길 34 (용강동),054 -744 -7890,한식,"한, 양식류"
72,청하숯불식당,이복식,경상북도 경주시 산내면 의곡중앙길 35-11, 054- 751-7767,한식,쇠고기숯불
73,청하한정식,김계수,"경상북도 경주시 봉황로 72 (동부동,외1필지)",054 -775 -2223,한식,한정식
74,초원삼계탕,문광수,경상북도 경주시 북문로 33 (성건동),054 -775 -3766,한식,삼계탕
75,최가칡냉면,노연호,경상북도 경주시 화랑로49번길 5 (성건동),054 -774 -2274,분식,냉면
76,콩이랑주식회사,이순경,경상북도 경주시 보불로 97 (하동),054 -774 -4578,한식,순두부
77,토함민속식당,김도협,경상북도 경주시 숲머리길 159 (보문동), 054- 748-6969,한식,한정식
78,토함산식당,권용태,경상북도 경주시 새골길 197 (하동), 054-745 -7706,한식,닭백숙
79,푸른가든,문갑수,"경상북도 경주시 산내면 문복로 225, 1층",,한식,숯불갈비
80,풀잎채보문점,이성훈,"경상북도 경주시 엑스포로 80, 2층 (천군동, 미탐시티)",,한식,뷔페
81,풍년참가자미회식당,전정희,경상북도 경주시 백률로 73 (동천동), 054- 774-4040,한식,생선회
82,하연지,김정련,경상북도 경주시 포석로 932-2 (탑동),054 -777 -5432,한식,"연순두부,연잎한정식,연근콩탕"
83,한방생오리불고기,김희순,경상북도 경주시 양정로225번길 18 (동천동), 054- 743-5292,한식,오리불고기
84,호박고을,이희주,경상북도 경주시 통일로 34-4 (도지동), 054- 748-3444,한식,오리
85,홍시한정식,이은주,경상북도 경주시 화랑로 19번길 5 (성건동),054 -742 -8668,한식,한정식
86,황금덕장(경주불국사점),이금숙,경상북도 경주시 영불로 17 (시래동),054 -746 -9890,한식,버섯전골
87,감포일출복어,이은숙,경상북도 경주시 북성로 67,054-741-7255,한식,복어요리
88,스시드새우,정재훈,경상북도 경주시 용담로 98,,한식,초밥
89,엄마곰탕,이창규,경상북도 경주시 보문로 545-14,,한식,곰탕
90,경주오주터,이재하,경상북도 경주시 구매택지1길 24,054-744-5292,한식,오리고기
91,한우프라자셀프식당,김종섭,경상북도 경주시 현진앞3길 52,054-749-1333,한식,숯불갈비
