상호명,유형,소재지,주메뉴,전화번호,위도 ,경도,데이터기준일자
어부횟집,일식,"인천광역시 서구 검단로 467, 201호-202호(왕길동, 다섬프라자)","광어, 우럭",032-568-2922,37.60183127,126.6562774,2023-07-13
오자매생선촌,한식,인천광역시 서구 심곡로55번길 9,"매콤명태조림, 소면",032-562-8445,37.54294242,126.6755943,2023-07-13
원갈비,한식,인천광역시 서구 심곡로8번길 4,청국장,032-567-5665,37.54173,126.67021,2023-07-13
월출산흑염소추어탕,한식,"인천광역시 서구 서곶로315번길 17, 1층","흑염소탕, 추어탕",032-566-0656,37.54552,126.67464,2023-07-13
유천가든,한식,인천광역시 서구 아라로51번길 6-1(시천동),"오리진흙구이, 오리구이",032-567-7723,37.57262571,126.6815364,2023-07-13
이계종李복집,일식,인천광역시 서구 가정로 168(석남동),"복매운탕, 까치복지리탕",032-576-7022,37.49969267,126.6722898,2023-07-13
자연쌈밥앤미역국,한식,인천광역시 서구 대평로7번길 4(심곡동),"우렁쌈밥, 제육쌈밥",032-565-9984,37.54689385,126.676003,2023-07-13
장춘닭개장,한식,"인천광역시 서구 원당대로 526, 1층","닭개장, 닭볶음탕",032-562-9966,37.59254,126.65969,2023-07-13
좋은나무,한식,"인천광역시 서구 건지로 401, 2층(가좌동, 에이스프라자)","떡갈비정식, 우엉불고기정식",032-571-7657,37.49572874,126.6860546,2023-07-13
진천토종순대,한식,인천광역시 서구 신진말로 37(가좌동),"순대곱창볶음, 순대국밥",032-574-0798,37.49333339,126.6797074,2023-07-13
진천토종순대,한식,인천광역시 서구 검암로30번길 10(검암동),"순대국밥, 모듬순대 ",032-565-8665,37.56669647,126.6814735,2023-07-13
참맛나쭈꾸미,한식,인천광역시 서구 건지로 372(가좌동),"주꾸미볶음, 부대찌개",032-581-7882,37.49653529,126.6829648,2023-07-13
청수한방횡계백숙,한식,인천광역시 서구 서곶로255번길 7(심곡동),"오리볶음탕, 한방오리백숙",032-567-2446,37.54025097,126.6757923,2023-07-13
초애삼계탕,한식,인천광역시 서구 담지로86번길 16(청라동),약초삼계탕,032-565-9222,37.53746897,126.6615847,2023-07-13
촌장골,한식,인천광역시 서구 서곶로 850,"소양념왕구이, 생불고기정식",032-569-4112,37.59303,126.67431,2023-07-13
태백산,한식,인천광역시 서구 서곶로315번길 26(심곡동),"돼지왕갈비, 소고기",032-567-3331,37.54600532,126.6739026,2023-07-13
토향해물전문점,한식,인천광역시 서구 원창로229번길 34-2(가정동),"박속낙지탕, 낙지볶음",032-576-7895,37.52040324,126.6751473,2023-07-13
한성국밥,한식,인천광역시 서구 가정로67번길 2,수육국밥,032-583-9888,37.49102842,126.671154,2023-07-13
한울능이버섯오리백숙,한식,인천광역시 서구 청라에메랄드로163번길 3-9(청라동),"능이버섯오리백숙, 토종닭백숙",032-561-8252,37.53920505,126.6557717,2023-07-13
해아낙,한식,인천광역시 서구 청라에메랄드로163번길 3-7(연희동),"해물찜, 아귀찜",032-571-7007,37.53920749,126.6559866,2023-07-13
희래등,중식,인천광역시 서구 탁옥로86번길 6-1(심곡동),"망고크림새우, 멘보샤",032-565-5100,37.54312419,126.6789212,2023-07-13
