연번,상호명,소재지,전화번호,대표메뉴,업태,데이터기준일자
79,신세계명동칼국수,인천광역시 서구 율도로77번길 41 (신현동),032-579-9788,칼국수+만두,한식,2023-12-31
80,엄마손마약꼬마김밥,인천광역시 서구 원창로 200-1 (신현동),032-579-5580,꼬마김밥,분식,2023-12-31
81,옛날곱창마을,인천광역시 서구 율도로 63-1 (신현동),032-579-6436,순대곱창,한식,2023-12-31
82,라파델라,"인천광역시 서구 탁옥로 105, 105호 (심곡동, 메인프라자3차))",,파스타+카레덮밥,양식,2023-12-31
83,(주)촌장,인천광역시 서구 서곶로 296 (심곡동),032-562-4343,갈비탕+소생구이,한식,2023-12-31
84,고향미추홀한정식,"인천광역시 서구 탁옥로34번길 10, 101~102호 (심곡동)",032-565-8055,백반,한식,2023-12-31
85,낙지한마당,인천광역시 서구 서곶로315번길 14 (심곡동),032-561-5888,연포탕,한식,2023-12-31
86,박희준의 황금오리농원,"인천광역시 서구 심곡로 21, 2층 (심곡동)",032-567-5533,오리로스+주물럭,한식,2023-12-31
87,반상,"인천광역시 서구 심곡로 32-1, 1층 (심곡동)",032-563-0106,해물등갈비찜,한식,2023-12-31
88,백령면옥,인천광역시 서구 서곶로255번길 4 (심곡동),032-561-3362,메밀국수,한식,2023-12-31
89,빨간염소,"인천광역시 서구 심곡로 73 (심곡동, 1층)",032-561-1711,염소고기,한식,2023-12-31
90,원갈비,인천광역시 서구 심곡로8번길 4 (심곡동),032-567-5665,청국장+항정살+돼지갈비,한식,2023-12-31
91,장터순대타운,"인천광역시 서구 대평로 11, B동 1층 (심곡동)",032-565-6465,순대국,한식,2023-12-31
92,토성오리,인천광역시 서구 심곡로 108 (심곡동),032-566-3285,오리진흙구이,한식,2023-12-31
93,한우담,인천광역시 서구 심곡로 125 (심곡동),,"육회, 소고기",한식,2023-12-31
94,본터랍스타,인천광역시 서구 심곡로 81 (심곡동),032-567-6151,랍스터,양식,2023-12-31
95,교동찹쌀순대,"인천광역시 서구 심곡로55번길 5, A동 101~102호 (심곡동)",032-563-3838,순대국,한식,2023-12-31
96,가좌동진천토종순대,"인천광역시 서구 담지로104번길 17-1, 1층 (연희동)",032-565-0798,순대국,한식,2023-12-31
97,유가네왕족발,"인천광역시 서구 연희로 10, 1층 (연희동)",032-563-3378,족발+뷔페식점심,한식,2023-12-31
98,장수골 남원추어탕,"인천광역시 서구 담지로104번길 21, 1층 (연희동)",,추어탕,한식,2023-12-31
99,진미아구탕,인천광역시 서구 원창로 238 (가정동),,아구찜,한식,2023-12-31
100,쭈꾸쭈꾸미,"인천광역시 서구 청라에메랄드로149번길 4-7, 1층 (연희동)",032-581-0903,쭈꾸미볶음,한식,2023-12-31
101,청라쭈꾸미마을,"인천광역시 서구 청라라임로16번길 20, 1층 (연희동)",032-565-9411,쭈꾸미볶음,한식,2023-12-31
102,정가며느리볼테기,"인천광역시 서구 검단로459번길 7-3, 110~111호 (왕길동, 인천아트빌)",032-564-6664,볼테기탕+찜,한식,2023-12-31
103,태백산,"인천광역시 서구 완정로 151, 2~3층 (왕길동)",032-567-3392,한우갈비살+꽃등심,한식,2023-12-31
