번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,제작취급품목내용,보험기관명,건물용도명,지상층수,지하층수,객실수,건축연면적,영문상호명,영문상호주소,선박총톤수,선박척수,선박제원,무대면적,좌석수,기념품종류,회의실별동시수용인원,시설면적,놀이기구수내역,놀이시설수,방송시설유무,발전시설유무,의무실유무,안내소유무,기획여행보험시작일자,기획여행보험종료일자,자본금,보험시작일자,보험종료일자,부대시설내역,시설규모,관광숙박업상세명
38,관광숙박업,03_11_01_P,4530000,CDFI2260032018000001,2018-05-11,,1,영업/정상,13,영업중,,,,,041-666-8114,,,충청남도 서산시 갈산동 181 관광호텔,"충청남도 서산시 안견로 465, 관광호텔 (갈산동)",31987,베니키아호텔 서산,2024-05-01 17:45,U,2024-05-03 2:40,,149762.9655,364903.3265,관광숙박업,,,0,,,,,13,3,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0,관광호텔업
39,관광숙박업,03_11_01_P,4800000,CDFI2260032024000008,2024-05-31,,1,영업/정상,13,영업중,,,,,,,,전라남도 목포시 만호동 5-20,"전라남도 목포시 만호로 29, 2층 (만호동)",58753,소호,2024-05-31 17:12,I,2024-06-02 0:14,,143537.8467,143048.8518,관광숙박업,,,2,,,,,2,0,0,0,,,0,0,,0,0,,0,42.92,,0,,,,,,,100000000,,,,43,호스텔업
40,관광숙박업,03_11_01_P,3000000,CDFI2260032018000004,2018-07-05,,1,영업/정상,13,영업중,,,,,02-730-3455,,,서울특별시 종로구 관훈동 198-11 호텔 썬비,"서울특별시 종로구 인사동7길 26, 호텔 썬비 (관훈동)",3149,호텔 썬비,2023-10-10 9:30,U,2023-10-12 2:40,,198586.8652,452307.0715,관광숙박업,,일반상업지역,10,기타,,(주)KB손해보험,호텔,9,1,42,2071,Hotel Sunbee,Tourist Accommodation Business,0,0,,0,0,,0,2070.85,,0,,,,,,,100000000,,,,2071,관광호텔업
41,관광숙박업,03_11_01_P,3010000,CDFI2260032015000013,2015-05-15,,1,영업/정상,13,영업중,,,,,02-755-1300,,100-873,서울특별시 중구 회현동1가 99-18,서울특별시 중구 퇴계로8길 31-9 (회현동1가),4634,루미아 호텔,2024-02-20 9:30,U,2024-02-22 2:40,,198142.8812,450638.8105,관광숙박업,,준주거지역,0,학교정화(상대),,,호텔,5,1,34,956,Lumia Hotel,Hostel,0,0,,0,0,,0,956.48,,0,,,,,,,0,,,,956,호스텔업
42,관광숙박업,03_11_01_P,3010000,CDFI2260032015000014,2015-06-24,,1,영업/정상,13,영업중,,,,,2198-1212,,100-412,서울특별시 중구 광희동2가 17,서울특별시 중구 장충단로 226 (광희동2가),4565,소테츠호텔즈 더 스프라지르 서울 동대문,2024-02-14 16:40,U,2024-02-16 2:40,,200614.7247,451381.2495,관광숙박업,,일반상업지역,0,,,4성,호텔,21,4,215,0,SOTETSU HOTELS THE SPLAISIR SEOUL DONGDAEMUN,Tourist Hotel,0,0,,0,0,,0,12562.85,,0,,,,,,,0,,,,12563,관광호텔업
43,관광숙박업,03_11_01_P,3010000,CDFI2260032015000015,2015-06-26,,1,영업/정상,13,영업중,,,,,02  740 4500,,100-860,서울특별시 중구 충무로2가 12-7,서울특별시 중구 명동8가길 53 (충무로2가),4537,호텔 크레토,2024-02-14 16:21,U,2024-02-16 2:40,,198877.8236,451079.5618,관광숙박업,,중심상업지역,10,학교정화(상대),,2성,,9,1,35,0,HOTEL CRETO,Tourist Hotel,0,0,,0,0,,0,1377.07,,0,,,,,,,0,,,,1377,관광호텔업
44,관광숙박업,03_11_01_P,3010000,CDFI2260032015000016,2015-07-30,,1,영업/정상,13,영업중,,,,,0507-1405-5441,,100-804,서울특별시 중구 남창동 9-15 10층,"서울특별시 중구 퇴계로 61, 10층 (남창동)",4529,24게스트하우스 명동타운점,2024-02-20 9:31,U,2024-02-22 2:40,,198065.8456,450787.3968,관광숙박업,,일반상업지역,0,,,,,10,0,11,0,24Guesthouse Myeongdong town,Hostel,0,0,,0,0,,0,267.23,,0,,,,,,,0,,,,267,호스텔업
45,관광숙박업,03_11_01_P,3010000,CDFI2260032015000017,2015-08-27,,1,영업/정상,13,영업중,,,,,2271-3501,,,서울특별시 중구 쌍림동 270-2,서울특별시 중구 퇴계로 306 (쌍림동),4615,호텔 더 디자이너스 동대문,2024-03-11 11:12,U,2024-03-13 2:40,,200429.9294,451264.5958,관광숙박업,,,0,,,기간만료,,17,3,99,0,HOTEL THE DESIGNERS DONGDAEMUN,Tourist Hotel,0,0,,0,0,,0,4804.48,,0,,,,,,,0,,,,4804,관광호텔업
46,관광숙박업,03_11_01_P,3010000,CDFI2260032015000018,2015-09-11,,1,영업/정상,13,영업중,,,,,02-773-5553,,,서울특별시 중구 명동2가 31-1,"서울특별시 중구 명동8길 27 (명동2가, 엠 플라자)",4536,솔라리아 니시테츠 호텔 서울 명동,2024-02-14 16:42,U,2024-02-16 2:40,,198619.3882,451135.7403,관광숙박업,,중심상업지역,0,학교정화(상대),,3성,호텔,0,0,312,0,Solaria Nishitetsu Hotel Seoul Myeong-dong,Tourist Hotel,0,0,,0,0,,0,12388.79,,0,,,,,,,0,,,,12389,관광호텔업
47,관광숙박업,03_11_01_P,3010000,CDFI2260032015000019,2015-09-17,,1,영업/정상,13,영업중,,,,,070-7779-3327,,,서울특별시 중구 태평로2가 366-1 3층,"서울특별시 중구 덕수궁길 7, 3층 (태평로2가, 오천회관빌딩)",4515,24게스트하우스 서울시청점,2024-02-20 9:32,U,2024-02-22 2:40,,197838.5063,451380.7703,관광숙박업,,일반주거지역,0,,,,,3,0,11,358,24Guesthouse Seoul Cityhall,Hostel,0,0,,0,0,,0,357.77,,0,,,,,,,0,,,,358,호스텔업
48,관광숙박업,03_11_01_P,3010000,CDFI2260032015000020,2015-09-23,,1,영업/정상,13,영업중,,,,,752-0022,,,서울특별시 중구 명동1가 10-1,"서울특별시 중구 명동9길 16 (명동1가, 명동 센트럴빌딩 호텔스카이파크)",4538,호텔 스카이파크 센트럴 명동점,2024-02-14 16:17,U,2024-02-16 2:40,,198625.2543,451373.686,관광숙박업,,중심상업지역,0,,,3성,,16,7,312,18586,HOTEL SKYPARK CENTRAL Myeongdong,Tourist Hotel,0,0,,0,0,,0,18585.89,,0,,,,,,,0,,,,18586,관광호텔업
49,관광숙박업,03_11_01_P,3010000,CDFI2260032015000021,2015-10-06,,1,영업/정상,13,영업중,,,,,779-9888,,,서울특별시 중구 을지로5가 274-1,"서울특별시 중구 동호로35길 5 (을지로5가, 석광빌딩)",4547,에이큐브 호텔,2024-02-14 17:15,U,2024-02-16 2:40,,200110.3353,451549.0544,관광숙박업,,,0,,,3성급,,8,2,43,0,ACUBE HOTEL,Tourist Hotel,0,0,,0,0,,0,2387.18,,0,,,,,,,0,,,,2387,관광호텔업
50,관광숙박업,03_11_01_P,3010000,CDFI2260032015000022,2015-10-14,,1,영업/정상,13,영업중,,,,,02-750-5900,,,서울특별시 중구 소공동 70,"서울특별시 중구 남대문로7길 19 (소공동, 삼영빌딩)",4532,크라운파크 호텔,2023-12-22 11:27,U,2023-12-24 2:40,,198232.0039,451276.3073,관광숙박업,,,0,,,3성,,16,2,204,9940,CROWN PARK HOTEL,TOURIST HOTEL,0,0,,0,0,,0,9940.25,,0,,,,,,,0,,,,9940,관광호텔업
51,관광숙박업,03_11_01_P,3010000,CDFI2260032015000023,2015-11-02,,1,영업/정상,13,영업중,,,,,02-2095-4953,,,서울특별시 중구 북창동 93-99,서울특별시 중구 남대문로5길 15 (북창동),4526,소테츠호텔즈 더 스프라지르 서울 명동,2024-02-14 16:41,U,2024-02-16 2:40,,198053.6383,451086.2998,관광숙박업,,,0,,,4성,,17,5,428,0,SOTETSU HOTELS THE SPLAISIR SEOUL MYEONG-DONG,Tourist Hotel,0,0,,0,0,,0,18598.8,,0,,,,,,,0,,,,18599,관광호텔업
52,관광숙박업,03_11_01_P,3010000,CDFI2260032015000024,2015-12-21,,1,영업/정상,13,영업중,,,,,2271-0827,,,서울특별시 중구 주교동 125-2,"서울특별시 중구 청계천로 184 (주교동, 남강빌딩)",4546,2U호스텔,2024-02-20 9:32,U,2024-02-22 2:40,,199770.3777,451814.6004,관광숙박업,,,0,,,,,0,0,20,0,2U HOSTEL,Hostel,0,0,,0,0,,0,358.02,,0,,,,,,,0,,,,358,호스텔업
53,관광숙박업,03_11_01_P,3010000,CDFI2260032016000001,2016-01-07,,1,영업/정상,13,영업중,,,,,6112-1000,,,서울특별시 중구 장교동 74,"서울특별시 중구 삼일대로 362 (장교동, 장교빌딩)",4541,롯데시티호텔명동,2024-02-14 16:52,U,2024-02-16 2:40,,198876.9253,451628.1532,관광숙박업,,,0,,,4성,,25,5,435,0,Lotte City Hotel Myeongdong,Tourist Hotel,0,0,,0,0,,0,25333.62,,0,,,,,,,0,,,,25334,관광호텔업
54,관광숙박업,03_11_01_P,3010000,CDFI2260032011000001,2011-09-28,,1,영업/정상,13,영업중,,,,,756-9700,,100-861,서울특별시 중구 충무로2가 62-9,서울특별시 중구 퇴계로 139 (충무로2가),,호텔 스카이파크3,2024-02-14 16:19,U,2024-02-16 2:40,,198814.8844,451003.687,관광숙박업,,중심상업지역,11,,,2성,호텔,9,2,136,0,HOTEL SKYPARK Ⅲ,TOURIST HOTEL,0,0,,0,0,,0,5866,,0,,,,,,,1500000000,,,,5866,관광호텔업
55,관광숙박업,03_11_01_P,3120000,CDFI2260032016000001,2016-02-01,,1,영업/정상,13,영업중,,,,,02-393-1199,,,서울특별시 서대문구 창천동 18-81,서울특별시 서대문구 연세로2가길 3 (창천동),3779,신촌라싸 관광호텔,2023-06-02 10:27,U,2023-06-04 2:40,,194391.1696,450428.2811,관광숙박업,,일반상업지역,15,기타,,,숙박시설,13,2,41,1786,,,0,0,,0,0,,0,1785.96,,0,,,,,,,0,,,,1786,관광호텔업
56,관광숙박업,03_11_01_P,3120000,CDFI2260032016000002,2016-09-12,,1,영업/정상,13,영업중,,,,,7088123755,,,"서울특별시 서대문구 창천동 31-92 8,9,10층","서울특별시 서대문구 명물길 19, 8,9,10층 (창천동, 경오빌딩)",3776,24게스트하우스 신촌에비뉴엘점,2023-06-02 10:36,U,2023-06-04 2:40,,194425.5477,450629.488,관광숙박업,,일반주거지역,12,기타,,재난배상책임보험(DB손보),근린생활시설,10,2,23,1826,,,0,0,,0,0,,0,402.48,,0,,,,,,,0,,,,402,호스텔업
57,관광숙박업,03_11_01_P,3210000,CDFI2260031990000001,1990-12-30,,1,영업/정상,13,영업중,,,,,571-8100,,137-915,서울특별시 서초구 양재동 202,서울특별시 서초구 바우뫼로12길 70 (양재동),6769,더케이호텔앤리조트(주) 더케이호텔서울,2021-09-27 10:21,U,2021-09-29 2:40,,202833.2617,440511.5612,관광숙박업,관광사업,자연녹지지역,11,주택가주변,,,호텔,11,1,250,72742,THE K HOTEL SEOUL,TOURIST HOTEL,0,0,,0,0,,0,52135.75,,0,,,,,,,0,,,,52136,관광호텔업
58,관광숙박업,03_11_01_P,3210000,CDFI2260031994000001,1994-09-16,,1,영업/정상,13,영업중,,,,,02-6710-1804,,137-902,서울특별시 서초구 잠원동 6-1번지,"서울특별시 서초구 강남대로107길 6 (잠원동, 더리버사이드호텔)",137-902,더리버사이드호텔,2019-07-12 14:55,U,2019-07-14 2:40,,201530.4755,446268.2943,관광숙박업,,일반상업지역,16,,,,호텔,13,3,109,30096,THE RIVERSIDE HOTEL,TOURIST HOTEL,,,,,,,,30216.57,,,,,,,,,,,,,30217,관광호텔업
59,관광숙박업,03_11_01_P,3210000,CDFI2260032009000001,2009-04-27,,1,영업/정상,13,영업중,,,,,02-544-1004,,,서울특별시 서초구 잠원동 18-5번지 호텔티롤,"서울특별시 서초구 나루터로 64, 호텔티롤 (잠원동)",6527,호텔티롤,2019-07-24 10:39,U,2019-07-26 2:40,,201428.5176,445869.9511,관광숙박업,,일반상업지역,13,기타,,,호텔,9,4,83,7519,HOTEL TIROL,TOURIST HOTEL,,,,,,,,7518.78,,,,,,,,,200000000,,,,7519,관광호텔업
60,관광숙박업,03_11_01_P,3210000,CDFI2260032011000001,2011-11-14,,1,영업/정상,13,영업중,,,,,02-585-0561,,137-876,서울특별시 서초구 서초동 1589-4,서울특별시 서초구 반포대로12길 29 (서초동),6653,유원관광호텔,2023-08-21 16:42,U,2023-08-23 2:40,,201066.8186,442553.4171,관광숙박업,,일반상업지역,12,기타,,,호텔,10,2,71,0,YUWONMATE TOURIST HOTEL,TOURIST HOTEL,0,0,,0,0,,0,4983.12,,0,,,,,,,17006000100,,,,4983,관광호텔업
61,관광숙박업,03_11_01_P,3210000,CDFI2260032014000001,2014-04-12,,1,영업/정상,13,영업중,,,,,,,,서울특별시 서초구 서초동 1594-4,서울특별시 서초구 반포대로14길 53 (서초동),6651,호텔 소설(小雪),2024-03-06 17:42,U,2024-03-08 2:40,,201151.0288,442683.6498,관광숙박업,,상업지역,14,유흥업소밀집지역,,,호텔,12,2,52,0,HOTEL Soh Sul,TOURIST HOTEL,0,0,,0,0,,0,3660,,0,,,,,,,6899999700,,,,3660,관광호텔업
62,관광숙박업,03_11_01_P,3210000,CDFI2260032015000001,2015-09-02,,1,영업/정상,13,영업중,,,,,269368100,,137-863,서울특별시 서초구 서초동 1361-9,서울특별시 서초구 강남대로 259 (서초동),137-863,호텔 페이토,2021-02-17 16:18,U,2021-02-19 2:40,,202811.3577,442727.7484,관광숙박업,,일반상업지역,19,학교정화(상대),,,호텔,19,4,189,8996,Hotel Peyto,TOURIST HOTEL,,,,,,,,8996,,,,,,,,,600000000,,,,8996,관광호텔업
63,관광숙박업,03_11_01_P,3210000,CDFI2260032017000001,2017-04-03,,1,영업/정상,13,영업중,,,,,222199000,,,서울특별시 서초구 서초동 1339-1번지,서울특별시 서초구 효령로 427 (서초동),6628,신라스테이 서초,2019-07-12 15:01,U,2019-07-14 2:40,,202594.605,443029.0883,관광숙박업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,관광호텔업
64,관광숙박업,03_11_01_P,3210000,CDFI2260032018000002,2018-03-06,,1,영업/정상,13,영업중,,,,,02-3474-1214,,,서울특별시 서초구 서초동 1670-15,"서울특별시 서초구 서초대로56길 18, 업플로 호스텔 (서초동)",6633,업플로 호스텔,2022-01-28 18:05,U,2022-01-30 2:40,,201434.0321,443506.5799,관광숙박업,,일반상업지역,3,기타,,,숙박시설,,,21,735,UPFLO HOSTEL,HOSTEL,,,,,,,,735.11,,,,,,,,,1712132000,,,,735,호스텔업
65,관광숙박업,03_11_01_P,3210000,CDFI2260032007000001,2007-01-04,,1,영업/정상,13,영업중,,,,,02-597-1140,,137-881,서울특별시 서초구 서초동 1677-8번지,서울특별시 서초구 서초대로 338 (서초동),,프로비스타 가족호텔,2019-09-10 17:04,U,2019-09-12 2:40,,201577.6533,443623.6,관광숙박업,관광사업,일반상업지역,18,유흥업소밀집지역,,,호텔,15,3,160,10997,PROVISTA FAMILY HOTEL,FAMILY HOTEL,,,,,,,,10996.82,,,,,,,,,1850000000,,,,10997,가족호텔업
66,관광숙박업,03_11_01_P,3230000,CDFI2260031986000001,1986-10-01,,1,영업/정상,13,영업중,,,,,02-419-7000,,138-220,서울특별시 송파구 잠실동 40-1,서울특별시 송파구 올림픽로 240 (잠실동),5554,호텔롯데 롯데호텔월드,2023-09-20 10:15,U,2023-09-22 2:40,,208589.3633,445455.9041,관광숙박업,관광사업,준주거지역,36,기타,,,숙박시설,33,3,477,103700,,,0,0,,0,0,,0,103700.75,,0,,,,,,,0,,,,103701,관광호텔업
67,관광숙박업,03_11_01_P,3210000,CDFI2260032000000001,2000-07-28,,1,영업/정상,13,영업중,,,,,6282-6262,,137-713,서울특별시 서초구 반포동 19-3,서울특별시 서초구 신반포로 176 (반포동),,JW메리어트호텔 서울,2021-04-14 9:23,U,2021-04-16 2:40,,200250.4478,444683.2205,관광숙박업,관광사업,일반상업지역,32,기타,,,근린생활시설,32,5,379,52653,JW MARRIOTT HOTEL SEOUL,TOURIST HOTEL,,,,,,,,52653,,,,,,,,,,,,,52653,관광호텔업
68,관광숙박업,03_11_01_P,4810000,CDFI2260032018000047,2018-12-04,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 종화동 589-1번지,전라남도 여수시 하멜로 60 (종화동),59746,여수夜호스텔,2018-12-04 13:39,I,2018-12-06 2:20,,268223.6214,138087.3277,관광숙박업,,일반상업지역,7,기타,,,숙박시설,1,6,,,,,,,,,,,,1256.64,,,,,,,,,,,,,1257,호스텔업
69,관광숙박업,03_11_01_P,6510000,CDFI2260032018000005,2018-12-04,,1,영업/정상,13,영업중,,,,,064-799-6401,,,제주특별자치도 제주시 애월읍 고내리 1159,"제주특별자치도 제주시 애월읍 애월해안로 226, 솔트",63045,솔트,2021-12-29 16:00,U,2021-12-31 2:40,,138229.739,-3062.47195,관광숙박업,,일반주거지역,4,주택가주변,,,숙박시설,4,0,20,618,,,0,0,,0,0,,0,617.74,,0,,,,,,,670000,,,,618,호스텔업
70,관광숙박업,03_11_01_P,4810000,CDFI2260032019000001,2019-01-04,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 수정동 99-3번지,전라남도 여수시 오동도로 102 (수정동),59745,오동도관광호텔,2020-06-10 13:38,U,2020-06-12 2:40,,268809.707,138370.618,관광숙박업,,일반상업지역,6,기타,,,숙박시설,6,,40,2833,,,,,,,,,,536.96,,,,,,,,,,,,,537,관광호텔업
71,관광숙박업,03_11_01_P,3400000,CDFI2260032022000001,2022-03-24,,1,영업/정상,13,영업중,,,,,051-721-8585,,,부산광역시 기장군 기장읍 연화리 376-4,부산광역시 기장군 기장읍 연화1길 27,46082,베스트루이스해밀턴호텔 오션테라스,2024-05-24 15:41,U,2024-05-26 2:40,,402288.6402,192769.8426,관광숙박업,,준주거지역,13,,,삼성화재,숙박시설,12,1,70,3118,,,0,0,,0,0,,0,3665.59,,0,,,,,,,17909999600,,,,3666,관광호텔업
72,관광숙박업,03_11_01_P,4810000,CDFI2260032019000002,2019-01-29,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 돌산읍 평사리 산 318-21,전라남도 여수시 돌산읍 몰둠벙길 22-9,59771,웨스트힐스 프라이빗 풀빌라,2021-06-23 14:50,U,2021-06-25 2:40,,269272.5362,133989.4156,관광숙박업,,자연녹지지역,3,기타,,,근린생활시설,3,1,,,,,,,,,,,,2903.4,,,,,,,,,,,,,2903,호스텔업
73,관광숙박업,03_11_01_P,4160000,CDFI2260032019000001,2019-01-11,,1,영업/정상,13,영업중,,,,,,,,경기도 가평군 상면 행현리 636 Over the mountain,"경기도 가평군 상면 수목원로386번길 75, Over the mountain",12448,오버더마운틴,2023-10-23 11:11,U,2023-10-25 2:40,,230514.3815,471458.3179,관광숙박업,,관리지역,3,기타,,,숙박시설,3,1,30,3101,,,,,,,,,,3101.44,,,,,,,,,,,,,3101,가족호텔업
74,관광숙박업,03_11_01_P,3490000,CDFI2260032019000001,2019-01-29,,1,영업/정상,13,영업중,,,,,,,,인천광역시 중구 무의동 119-11번지,인천광역시 중구 하나개로 37 (무의동),22387,하늘지기,2019-02-01 11:35,U,2019-02-03 2:40,,148765.4461,431714.0222,관광숙박업,,자연녹지지역,4,기타,,,숙박시설,4,0,,,,,,,,,,,,432.46,,,,,,,,,6000000,,,,432,호스텔업
75,관광숙박업,03_11_01_P,3380000,CDFI2260032019000001,2019-01-29,,1,영업/정상,13,영업중,,,,,051-760-0808,,,부산광역시 수영구 민락동 181-205,부산광역시 수영구 광안해변로 276 (민락동),48283,베스트루이스해밀턴호텔 광안점,2022-08-01 15:04,U,2022-08-03 2:40,,393471.1778,186115.038,관광숙박업,,준주거지역,15,,,,숙박시설,15,1,50,2038,,,0,0,,0,0,,0,2037.96,,0,,,,,,,800000000,,,,2038,관광호텔업
76,관광숙박업,03_11_01_P,4810000,CDFI2260032004000001,2004-03-30,,1,영업/정상,13,영업중,,,,,061-662-6111,,,전라남도 여수시 공화동 1054-1번지,전라남도 여수시 공화남2길 20 (공화동),59743,샹보로관광호텔,2019-01-15 13:14,I,2019-01-17 2:20,,267907.9962,138729.0751,관광숙박업,,일반상업지역,6,기타,,,호텔,5,1,31,2279,CHAMBORD TOURIS HATEL,,,,,,,,,24525.56,,,,,,,,,,,,,24526,관광호텔업
77,관광숙박업,03_11_01_P,4010000,CDFI2260032019000001,2019-01-25,,1,영업/정상,13,영업중,,,,,031 319 0078,,,경기도 시흥시 정왕동 2031-5번지 오이도 서종 호텔,"경기도 시흥시 오이도로135번길 72, 씨하이호텔 (정왕동)",15015,씨하이호텔,2020-01-14 10:26,U,2020-01-16 2:40,,172191.1249,426723.5343,관광숙박업,,일반주거지역,7,,,삼성화재,호텔,7,,29,1553,,,,,,,,,,1553,,,,,,,,,,,,,1553,소형호텔업
78,관광숙박업,03_11_01_P,3910000,CDFI2260032019000001,2019-01-31,,1,영업/정상,13,영업중,,,,,,,,경기도 평택시 서정동 850-7,경기도 평택시 서정로268번길 6 (서정동),17775,서정호스텔,2023-01-16 9:01,U,2023-01-18 2:40,,205518.022,395951.3972,관광숙박업,,일반상업지역,4,,,현대해상화재보험,,4,1,37,0,,,0,0,,0,0,,0,926.39,,0,,,,,,,0,,,,926,호스텔업
