연번,카테고리,상호명,소재지도로명주소,전화번호,대표메뉴
29,한식,단지촌,구미시 송동로7길 73-3 (도량동),054-442-3692,삼겹살
30,한식,닭갈비아저씨본점,"구미시 신시로16길 99 (송정동,1층)",054-457-7892,닭갈비
31,한식,대가야삼계탕,구미시 인동9길 7-7 (인의동),054-474-5002,삼계탕
32,일식,대판초밥,"구미시 1공단로7길 86-5 (공단동,A동)",054-465-0171,초 밥
33,한식,도개다곡묵고을,구미시 고아읍 원대로 163,054-457-5500,묵밥
34,식육(숯불구이),돈뚜꺼비소원,구미시 산동읍 첨단기업1로 36,054-476-9400,한식뷔페
35,일식,동광알탕,"구미시 1공단로7길 86-9, 1층 (공단동)",054-463-3001,알탕
36,한식,동해해물탕 송정점,"구미시 신시로16길 59, 송정동 (송정동)",054-452-0900,해물탕
37,한식,두껍삼본점,"구미시 봉곡로 56, 1층 (봉곡동)",054-455-3592,삼겹살
38,한식,마음에,구미시 인동32길 11 (진평동),054-474-0140,한우구이
39,식육(숯불구이),명장화로,"구미시 옥계북로1길 7-7, 1층 (옥계동)",054-474-2999,돼지갈비
40,한식,무영쌈밥정식본점,구미시 형곡로 256 (형곡동),054-457-1116,쌈밥
41,한식,박군자진주냉면,"구미시 인동31길 21-8, 1층 (인의동)",054-471-7686,냉면
42,한식,배우네생버섯,구미시 고아읍 선산대로 1151 (외1필지),054-482-2233,버섯전골
43,경양식,백우정,"구미시 금오산로 178, 1층 (남통동)",054-452-5020,스파게티파스타
44,한식,버드나무식당,구미시 공원로 26 (남통동),054-452-5069,백숙
45,한식,별난버섯집,구미시 해평면 송곡3길 15-8,054-474-8592,버섯요리
46,한식,복되고,"구미시 산동읍 강동로 971, 1동 1층",054-456-5577,복어매운탕
47,한식,복터진집,"구미시 인동북길 67 (인의동,1층)",054-471-5101,복매운탕
48,한식,본죽앤비빔밥카페 구미역점,"구미시 구미중앙로 91 (원평동, 1층)",054-451-6288,"죽, 비빔밥"
49,한식,봉곡보신가든,구미시 봉곡남로13길 13 (봉곡동),054-442-2116,보신탕
50,한식,봉순이굴국밥 원호점,구미시 고아읍 문장로25길 6-5,054-443-5253,굴국밥
51,한식,부산돼지국밥,구미시 산동읍 적림1길 7-14,054-474-9990,돼지국밥
52,한식,불구이돈,"구미시 문장로 60 (도량동,1층)",054-452-9882,삼겹살
53,일식,사계식당,구미시 봉곡로 102 (봉곡동),054-442-3490,회
54,분식,사랑한다면봉곡어탕칼국수,구미시 봉곡남로17길 22 (봉곡동),054-455-5511,어탕칼국수
55,한식,사오정숯불가든,구미시 고아읍 문장로27길 6-6,054-441-0303,숯불갈비
56,분식,산동장안식당,"구미시 산동읍 강동로 840, 1층",054-474-2001,칼국수
57,한식,산수정,구미시 산동읍 강동로 697-20 (1층),054-471-7866,갈비살
58,한식,삼시세때상모점,"구미시 상사서로4길 5, 1층 (상모동)",054-462-7544,순대국밥
59,한식,생복집,"구미시 인동2길 7, 1층 (진평동)",054-471-4167,복요리
60,한식,샤브향 형곡점,구미시 형곡로 141 (형곡동),054-456-8500,샤브샤브
61,한식,선산고을식당,구미시 신시로16길 83 (송정동),054-456-1400,고기류
62,한식,선산생곡묵집두부촌,구미시 선산읍 선상동로 109,054-481-8722,묵
63,한식,선주고을,구미시 선산읍 선상서로 198 (1층),054-482-9595,오리훈제/소갈비살
64,한식,선주한정식,구미시 선산읍 선산중앙로17길 4,054-481-2103,된장찌개
65,한식,성원식육식당,구미시 장천면 강동로 203,054-471-5223,소갈비
66,한식,소머리숯불갈비,구미시 송원서로4길 46 (원평동),054-457-8778,갈비
67,한식,소문난해물탕,구미시 구미대로 404-20 (신평동),054-465-6100,해물탕
68,일식,송죽초밥,"구미시 구미중앙로31길 9 (원평동,1층)",054-453-1286,회
69,중국식,송화주식회사,"구미시 인동28길 19-4 (진평동,1층)",054-471-6647,중화요리
70,한식,수림매운탕,"구미시 비산로7길 38-18, 1층 (비산동)",054-464-6677,매운탕
71,한식,싱글벙글복어,"구미시 인동26길 11 (진평동,외2필지(지번확정))",054-472-4515,복어요리
72,한식,싱글벙글복어옥계점,구미시 산호대로30길 8-8 (옥계동),054-471-4515,복어탕
73,한식,써니의착한식당상모본점,구미시 상사서로4길 19 (상모동),054-464-9393,"고추장불고기,생돼지갈비찌개"
74,일식,아스카,"구미시 형곡서로 32-1 (형곡동,1,2층)",054-456-9944,회
75,경양식,아웃백스테이크하우스코리아인동점,구미시 인동가산로 14 (진평동),054-476-9791,스테이크
76,식육(숯불구이),아지매맛집숯불갈비,구미시 고아읍 선산대로 1200,054-482-7500,삼겹살
77,분식,양평칼국수봉곡점,"구미시 봉곡동로 29, 1층 (봉곡동)",054-444-0345,칼국수
78,일식,어전식당,구미시 1공단로 188 (공단동),054-463-9223,회
79,일식,어촌마을1호점,구미시 형곡서로 42 (형곡동),054-454-2008,모듬회
80,한식,연못식당,구미시 고아읍 송평로1길 42,054-454-1608,닭발
81,한식,오대양복어,구미시 산호대로25길 25-3 (옥계동),054-474-8942,복어요리
82,식육(숯불구이),우미가,구미시 송원서로8길 24 (원평동),054-455-0300,"갈빗살, 육회"
83,일식,울산정자참가자미회타운,"구미시 상사동로8길 4, 1층 (임은동)",054-465-5777,가자미회
84,한식,원조호남무침회식당,구미시 산업로2길 65-1 (원평동),054-452-2290,무침회
85,한식,원할머니보쌈족발 박가부대찌개 구미형곡점,"구미시 경은로 68 (형곡동,씨에이치새로빌 103호)",054-457-5382,보쌈
86,한식,유진칡냉면,구미시 형곡서로 30 (형곡동),054-458-8018,냉면
87,한식,육림촌,구미시 산동읍 강동로 982,054-474-3031,숯불갈비
88,한식,윤쉐프의고기집,"구미시 신시로14길 10 (송정동,상산에이스타운 105호)",054-452-6766,고기류
89,한식,이조곰탕,구미시 구미중앙로31길 12 (원평동),054-455-6188,곰탕
90,한식,장터목,구미시 송원서로 75 (원평동),054-454-4466,생고기.육회
91,중국식,장황,구미시 봉곡남로15길 7 (봉곡동),054-442-1007,중화요리
92,한식,전원숯불사곡점,구미시 새마을로 94 (사곡동),054-463-6575,돼지갈비
93,한식,전원일기,구미시 송동로 42-37 (도량동),054-442-7088,"비빔밥, 돌솥밥"
94,한식,조선옥,"구미시 송원서로8길 44 (원평동,나동)",054-458-1444,숯불갈비
95,식육(숯불구이),주식회사460,"구미시 새마을로 74-4, 1,2층 (형곡동)",054-452-0460,한우구이
96,한식,진선찜점문점,구미시 신시로16길 67-1 (송정동),054-453-7257,돼지갈비찜
97,일식,이승우참치,구미시 형곡서로 27-1 (형곡동),054-457-3866,참치회
98,횟집,진참치,"구미시 인동북길 121 (인의동,외1필지 1층)",054-472-5745,참치회
99,한식,채미옥,"구미시 송원서로2길 17, 1층 (원평동)",054-457-7077,버섯전골
100,한식,천생골한우앤돼지마을,"구미시 천생산길 23, 1,2층 (구평동)",054-472-7856,한우구이
101,식육(숯불구이),천생산오리사냥,구미시 천생산길 38 (구평동),054-471-5292,오리요리
102,한식,청기와,구미시 금오산상가길 39-11 (남통동),054-456-5161,한정식
103,한식,청운복집,구미시 봉곡로14길 3 (봉곡동),054-442-2747,복매운탕
104,한식,충무찜,구미시 선산읍 선산중앙로 110-1,054-481-2505,해물찜
105,한식,큰나무집 궁중약백숙,구미시 공원로 28 (남통동),054-444-0122,백숙
106,한식,큰마당,"구미시 금오산로26길 4-11, 1층 (남통동)",054-451-2266,"흑태찜, 황태찜"
107,일식,태평양참치옥계점,구미시 산호대로29길 8-6 (옥계동),054-471-3735,참치
108,한식,터줏골송정점,구미시 신시로14길 100 (송정동),054-455-6639,홍어삼합
109,한식,팔팔갈비탕,구미시 고아읍 선산대로 833 (1층),054-482-5400,삼겹살
110,한식,팔팔순두부,"구미시 산책길 85, 1동 2층 (남통동)",054-444-0250,순두부
111,일식,포항가자미회,구미시 신시로16길 97 (송정동),054-451-3433,활어회
112,기타,폴이네키친,"구미시 인동중앙로5길 28-5, 1층 106,107호 (황상동)",054-475-0222,파스타
113,한식,한양매운탕,구미시 낙동강변로 694-4 (비산동),054-463-4873,매운탕
114,한식,한우랑 숯불구이,구미시 형곡서로 68 (형곡동),054-451-3899,숯불구이
115,한식,해수전복,"구미시 인동32길 9-3 (진평동,(지번확정))",054-474-2929,전복
116,식육(숯불구이),행복한갈비구미점,구미시 봉곡남로 149 (봉곡동),054-441-4080,갈비
117,한식,황강장어,구미시 구미중앙로43길 15 (원평동),054-455-4783,장어구이
