연번,상호명,소재지,지정메뉴,전화번호,업태
29,정기향옛날육개장,"인천광역시 부평구동암남로 29, 102호(십정동)",육개장,032-432-6787,한식
30,조은삼계탕,인천광역시 부평구 시장로71번길 5(부평동),능이오리백숙,032-515-5252,한식
31,육시락부평점,인천광역시 부평구 부흥로 257-13(부평동),한우물육회,032-506-2268,한식
32,밥도둑간장게장,인천광역시 부평구 경원대로1367번길 42-12(부평동),간장게장,032-515-5951,한식
33,제주최강흑돼지,인천광역시 부평구 부흥로385번길 7(부개동),제주흑돼지오겹살,032-507-3392,한식
34,착한낙지,인천광역시 부평구 대정로 17(부평동),낙지볶음덮밥,032-507-9007,한식
35,삿뽀로부평점㈜엔타스,인천광역시 부평구 길주로 643(삼산동),모듬스페셜,032-525-5533,일식
36,서촌이가,인천광역시 부평구 경원대로1377번길45-9(부평동),모듬생선찜,032-529-8200,한식
37,함흥관,"인천광역시 부평구 마장로 10,2~3층(십정동)",활전복갈비탕,032-527-4004,한식
38,명가한방삼계탕,인천광역시 부평구 부평대로17번길 21 (부평동),한방삼계탕,032-517-5501,한식
39,변사또남원추어탕,"인천광역시 부평구 마장로 186-1 (산곡동,정림빌딩 1층)",추어탕,032-527-7533,한식
40,몽순이해물탕,"인천광역시 부평구 장제로 340번길 10,1층(삼산동,아이빌)",해물탕,032-330-3358,한식
41,곱창마당,"인천광역시 부평구 길주남로 109,1층 (부개동,송현주택)",한우곱창모듬구이,032-271-2292,한식
42,오구당당논우렁쌈밥,인천광역시 부평구 경원대로1377번길 47 (부평동),"우렁쌈밥,쭈꾸미해물찜",032-505-3388,한식
43,아우라지삼산점,"인천광역시 부평구 장제로 346 (삼산동,2층,3층)",메기매운탕,032-525-4155,한식
44,보릿골정찬,"인천광역시 부평구 장제로 350, 2층,3층 (삼산동)","보리밥, 보쌈",032-519-4155,한식
45,밀채바지락칼국수,인천광역시 부평구 경원대로1232번길 2 (산곡동),바지락칼국수,032-508-0120,한식
46,밥상한우,인천광역시 부평구 산곡동 307-26,한우꽃등심,032-507-9615,한식
47,명가설렁탕,"인천광역시 부평구 주부토로66번길 14,1층 102호(부평동)","양지,도가니,수육",032-330-8277,한식
48,금강산추어탕,인천광역시 부평구 부평대로63번길 10-11 (부평동),추어탕,032-527-8118,한식
49,제일식당,인천광역시 부평구 주부토로145번길 44 (갈산동),오리주물럭,032-507-5077,한식
50,북촌순두부,인천광역시 부평구 부평문화로 51-1 (부평동),해물순두부찌개,032-525-6600,한식
51,고향밥상,인천광역시 부평구 경원대로1367번길 26-5(부평동),청국장정식,032-505-4366,한식
52,옹기네무지락,인천광역시 부평구  부흥북로5번길 19(부평동),김치전골,032-507-8892,한식
53,해조톳오리,인천광역시 부평구 동수로 107 (부평동),"오리,누룽지백숙",032-523-5511,한식
54,명품삼계탕,인천광역시 부평구 마장로 253 (산곡동),삼계탕,032-517-8777,한식
55,양평신내서울해장국,인천광역시 부평구 마장로 191 (산곡동),"내장탕,해장국",032-504-4342,한식
56,용마루집,인천광역시 부평구 원길로 28 (청천동),"보쌈,두부",032-522-1199,한식
57,풍년가(家),인천광역시 부평구 부평북로 111 (청천동),돼지갈비,032-521-3077,한식
58,동암아구해물탕,인천광역시 부평구 백범로468번길 45 (십정동),"해물찜,해물탕",032-435-0233,한식
59,(주)온누리푸드온누리장작구이,인천광역시 부평구 동암산로 10 (십정동),오리훈제,032-526-9292,한식
60,전통복회관,인천광역시 부평구 주부토로 29 (부평동),복어지리,032-527-3300,일식
61,신선설농탕 부평점,인천광역시 부평구 장제로 206 (부평동),설렁탕,032-514-3966,한식
62,감나무집참옻닭오리전문점,인천광역시 부평구 부평문화로115번길 17 (부평동),참옻닭,032-507-6769,한식
63,흥남면옥,인천광역시 부평구 마장로 138 (산곡동),소숯불갈비,032-504-9332,한식
64,부일식당,인천광역시 부평구 경원대로 1270 (부평동),한우생등심,032-522-1700,한식
65,함경꿩만두,인천광역시 부평구 백범로468번길 32 (십정동),꿩만두,032-434-2759,한식
66,철원양평해장국,인천광역시 부평구 청농로 2 (청천동),해장국,032-501-0353,한식
67,소금빛풍천장어구이,인천광역시 부평구 길주로547번길 5 (갈산동),복분자장어구이,032-513-9995,한식
68,옥천식당,인천광역시 부평구 안남로 447 (청천동),도가니탕,032-502-2623,한식
