업태,상호명,소재지,주요취급품목,전화번호,데이터기준일자
한식,삼일회관,정읍시 내장산로 930-8,"산채정식, 산채비빔밥",063-538-8131,2023-12-13
한식,새암정한우,정읍시 새암길 13-5 (수성동),"소고기, 비빔밥",063-533-6688,2023-12-13
한식,샘고을한우,정읍시 수성택지7길 5,"육회비빔밥, 갈비탕",063-534-1000,2023-12-13
한식,석쇠,정읍시 한솔로 10 (상동),"장어, 돼지갈비, 소갈비살",063-536-6616,2023-12-13
중식,수궁얼큰돼지짬뽕,정읍시 중앙로 108-3 (수성동),"수궁얼큰돼지짬뽕, 찹쌀탕수육, 양장피, 해삼탕",063-538-2033,2023-12-13
한식,수성갈비,정읍시 수성로 22,"돼지갈비, 소갈비",063-535-4898,2023-12-13
한식,순정축협한우명품관,정읍시 내장산로 14 (송산동),한우,063-538-9400,2023-12-13
한식,신가네정읍국밥본점,정읍시 수성5로 19,정읍국밥,063-531-6610,2023-12-13
한식,쌈촌정읍점,정읍시 명덕1길 71 (농소동),"월남쌈, 단풍미락",063-534-7800,2023-12-13
한식,씨아전복분점,정읍시 상사2길 30 (상동),"전복장, 전복찜",063-535-1196,2023-12-13
한식,아양촌해물칼국수,정읍시 송산1길 25 (시기동),해물칼국수,063-532-3828,2023-12-13
뷔페,엄마손회관뷔페,정읍시 내장산로 123 (금붕동),한식뷔페,063-533-4440,2023-12-13
한식,예가,정읍시 하신경9길 13 (상동),"오리묵은지, 삼계탕",063-538-9090,2023-12-13
한식,오유민동태마을(정읍점),정읍시 수성로 28-1,"동태탕, 소고기버섯전골",063-533-8883,2023-12-13
한식,옥돌생고기,정읍시 명륜길 15-7 (수성동),"귀리떡갈비, 소고기, 등심, 갈비살",063-536-1020,2023-12-13
한식,왕대박,정읍시 중앙2길 13,"능이백숙, 능이영양돌솥밥",063-531-5540,2023-12-13
한식,입암성원식당,정읍시 입암면 정읍남로 759,"가정식백반, 오리주물럭",063-534-5628,2023-12-13
한식,자양식당,정읍시 수성택지7길 24-16,"황태구이정식, 찜",063-531-0611,2023-12-13
한식,장군숯불갈비,정읍시 수성택지7길 8,"돼지갈비, 생갈비",063-532-6128,2023-12-13
한식,정읍가족감자탕,정읍시 수성택지7길 16-10,"가족뼈전골, 가족뼈찜, 해장국",063-531-0032,2023-12-13
한식,정읍녹두장군(상행)휴게소,정읍시 북면 하북1길 227-23,"비빔밥, 순두부찌개",063-532-2373,2023-12-13
한식,정읍녹두장군(하행)휴게소한식당,정읍시 북면 정신로 135-61,녹두장군오리탕,063-532-0510,2023-12-13
한식,정읍한우,정읍시 북면 화평길 2,소고기,063-537-6492,2023-12-13
한식,정촌,정읍시 중앙1길 169 (장명동),"한정식, 가정식백반",063-537-7900,2023-12-13
중식,정통중화요리삼팔공공,정읍시 충정로 71-8 (상동),"짜장, 돼지얼큰짬뽕, 찹쌀탕수육",063-535-8253,2023-12-13
한식,조선별관,정읍시 수성택지7길 16-13,"매운갈비찜, 오리한방백숙",063-538-9366,2023-12-13
한식,㈜대일내장산컨트리클럽,정읍시 첨단과학로 476 (신정동),"해장국, 짬뽕",063-570-7718,2023-12-13
중식,중화요리서울반점,정읍시 하신경8길 32 (상동),"코스, 짬뽕, 탕수육",063-536-5306,2023-12-13
한식,철판위에닭갈비,정읍시 남북로 24-9 (시기동),"닭갈비, 부대찌개",063-533-9960,2023-12-13
한식,청면옥,정읍시 상동중앙로 24-18,"오리주물럭, 냉면",063-537-2040,2023-12-13
한식,청주본가왕갈비탕정읍점,정읍시 수성로 37,"왕갈비탕, 갈비부대전골",063-532-0090,2023-12-13
일식,청해횟집수산,정읍시 수성택지5길 26,"초밥, 회전문",063-531-5908,2023-12-13
한식,춘향골,정읍시 수성로 97,추어탕,063-532-5011,2023-12-13
한식,토지,정읍시 마곡로 110-12 (수성동),한정식,063-531-6700,2023-12-13
한식,통큰낙지,정읍시 천변로 282,"낙지볶음, 곱창전골",063-535-7733,2023-12-13
한식,한국관,정읍시 내장산로 920,"한정식, 산채비빔밥",063-538-7790,2023-12-13
한식,행운아구찜,정읍시 수성택지7길 16-20,"아구찜, 해물찜",063-535-3228,2023-12-13
한식,현대옥정읍점,정읍시 중앙1길 15 (수성동),콩나물국밥,063-537-5789,2023-12-13
한식,화덕갈비,정읍시 내장산로 145 (금붕동),"돼지갈비, 떡갈비",063-533-1200,2023-12-13
